idRevision,0,RID,1,idReviser,2,idLeaflet,3,idSentence,4,crwRevision,5,dateT,6,g,7,flag,8
1,1,Id,Id,Reviser,Reviser,Leaflet,Leaflet,Sentence,Sentence,"Revised Sentence","Revised Sentence","0000-00-00 00:00:00","0000-00-00 00:00:00",Group,Group,Flag,Flag
2,2,91,91,A1W89GXH3DEF23,A1W89GXH3DEF23,2,2,264,264,"As part of your agreement to take part in this study, we will use your personal information to conduct and understand the study","As part of your agreement to take part in this study, we will use your personal information to conduct and understand the study","2019-08-17 18:26:06","2019-08-17 18:26:06",21,21,123,123
3,3,92,92,A1W89GXH3DEF23,A1W89GXH3DEF23,2,2,222,222,"Whilst more people are living longer after treatment for cancer we are still unsure how best to support them through their recovery","Whilst more people are living longer after treatment for cancer we are still unsure how best to support them through their recovery","2019-08-17 18:28:07","2019-08-17 18:28:07",21,21,123,123
4,4,94,94,A1YE98BQ5QRE6X,A1YE98BQ5QRE6X,3,3,346,346,"This research will be used to develop a workshop for men with prostate cancer, using your views","This research will be used to develop a workshop for men with prostate cancer, using your views","2019-08-17 18:30:11","2019-08-17 18:30:11",31,31,123,123
5,5,95,95,A1YE98BQ5QRE6X,A1YE98BQ5QRE6X,3,3,342,342,"You will be allocated a number at the start of the survey that can identify your data, your name and address will not be recorded","You will be allocated a number at the start of the survey that can identify your data, your name and address will not be recorded","2019-08-17 18:31:02","2019-08-17 18:31:02",31,31,123,123
6,6,96,96,A1YE98BQ5QRE6X,A1YE98BQ5QRE6X,3,3,359,359,"If you have read this information and are happy to take part, then please complete the questionnaire and return it to the researcher at the workshop, or send it to the University of Southampton in the prepaid Envelope provided","If you have read this information and are happy to take part, then please complete the questionnaire and return it to the researcher at the workshop, or send it to the University of Southampton in the prepaid Envelope provided","2019-08-17 18:32:15","2019-08-17 18:32:15",31,31,123,123
7,7,97,97,A1KCKKMDKHADNC,A1KCKKMDKHADNC,3,3,346,346,"The purpose of the research is to help men with prostate cancer by using your views to develop a workshop.","The purpose of the research is to help men with prostate cancer by using your views to develop a workshop.","2019-08-17 18:41:22","2019-08-17 18:41:22",31,31,123,123
8,8,98,98,A1KCKKMDKHADNC,A1KCKKMDKHADNC,3,3,342,342,"You will be allocated a number at the start of the study which will identify your data. We will not use your name and address on the questionnaire.","You will be allocated a number at the start of the study which will identify your data. We will not use your name and address on the questionnaire.","2019-08-17 18:43:12","2019-08-17 18:43:12",31,31,123,123
9,9,99,99,AXID3RPK6NZT6,AXID3RPK6NZT6,2,2,264,264,"This means we will use your data only to conduct and analyse the research study.","This means we will use your data only to conduct and analyse the research study.","2019-08-17 18:44:05","2019-08-17 18:44:05",21,21,123,123
10,10,100,100,AXID3RPK6NZT6,AXID3RPK6NZT6,2,2,222,222,"As more people than ever live longer thanks to cancer treatment, we still need to improve their after care.","As more people than ever live longer thanks to cancer treatment, we still need to improve their after care.","2019-08-17 18:45:05","2019-08-17 18:45:05",21,21,123,123
11,11,101,101,A1KCKKMDKHADNC,A1KCKKMDKHADNC,3,3,359,359,"if you are happy to take part after reading this information, please complete it and return it to us at the workshop or post it to the University of Southampton in the pre-paid envelope provided.","if you are happy to take part after reading this information, please complete it and return it to us at the workshop or post it to the University of Southampton in the pre-paid envelope provided.","2019-08-17 18:45:09","2019-08-17 18:45:09",31,31,123,123
12,12,102,102,AXID3RPK6NZT6,AXID3RPK6NZT6,2,2,263,263,"We are a publicly funded organisation that ensures that the information you provide is only used in the public interest.","We are a publicly funded organisation that ensures that the information you provide is only used in the public interest.","2019-08-17 18:46:57","2019-08-17 18:46:57",21,21,123,123
13,13,103,103,AUZUHON52J10U,AUZUHON52J10U,4,4,450,450,"If you are experiencing any difficulty, we can provide contact details where you can get support.","If you are experiencing any difficulty, we can provide contact details where you can get support.","2019-08-17 19:09:15","2019-08-17 19:09:15",41,41,123,123
14,14,104,104,AUZUHON52J10U,AUZUHON52J10U,4,4,416,416,"All patients will have been diagnosed with localised prostrate cancer which has been confined to the prostrate.","All patients will have been diagnosed with localised prostrate cancer which has been confined to the prostrate.","2019-08-17 19:12:13","2019-08-17 19:12:13",41,41,123,123
15,15,105,105,AEQ0FXD00UB2Z,AEQ0FXD00UB2Z,4,4,450,450,"If any aspect of your experience has been difficult, we can provide you with details to access additional support.","If any aspect of your experience has been difficult, we can provide you with details to access additional support.","2019-08-17 19:19:22","2019-08-17 19:19:22",41,41,123,123
16,16,106,106,AUZUHON52J10U,AUZUHON52J10U,4,4,470,470,"Only University of Southampton staff that need to will have access to information about you, for example if they need to correspond with you or work on trial data. ","Only University of Southampton staff that need to will have access to information about you, for example if they need to correspond with you or work on trial data. ","2019-08-17 19:19:50","2019-08-17 19:19:50",41,41,123,123
17,17,107,107,AEQ0FXD00UB2Z,AEQ0FXD00UB2Z,4,4,416,416,"Patients will have had a diagnosis of localised prostate cancer (cancer confined to the prostate and hasn't spread).","Patients will have had a diagnosis of localised prostate cancer (cancer confined to the prostate and hasn't spread).","2019-08-17 19:20:56","2019-08-17 19:20:56",41,41,123,123
18,18,108,108,A3C8ZNF3VB5PA1,A3C8ZNF3VB5PA1,4,4,450,450,"If you are finding aspects of your experience difficult, details of where to get support may be provided","If you are finding aspects of your experience difficult, details of where to get support may be provided","2019-08-17 19:22:43","2019-08-17 19:22:43",41,41,123,123
19,19,109,109,AEQ0FXD00UB2Z,AEQ0FXD00UB2Z,4,4,470,470,"The only people at the University of Southampton who will have access to your information, will be those that need to contact you for questionnaires, processing and analysing data or auditing the data collection process.","The only people at the University of Southampton who will have access to your information, will be those that need to contact you for questionnaires, processing and analysing data or auditing the data collection process.","2019-08-17 19:23:41","2019-08-17 19:23:41",41,41,123,123
20,20,110,110,A3C8ZNF3VB5PA1,A3C8ZNF3VB5PA1,4,4,416,416,"Localised prostate cancer has been diagnosed (confined to prostate only)","Localised prostate cancer has been diagnosed (confined to prostate only)","2019-08-17 19:23:42","2019-08-17 19:23:42",41,41,123,123
21,21,111,111,A3C8ZNF3VB5PA1,A3C8ZNF3VB5PA1,4,4,470,470,"The only people in the University of Southampton who will be able to identify you will be those who need to contact you or process the data that is collected","The only people in the University of Southampton who will be able to identify you will be those who need to contact you or process the data that is collected","2019-08-17 19:25:13","2019-08-17 19:25:13",41,41,123,123
22,22,112,112,A13X3J8SIYBVWI,A13X3J8SIYBVWI,3,3,346,346,"The reason for this this research is to create a workshop for men with prostate cancer and your help will be used to make this happen.","The reason for this this research is to create a workshop for men with prostate cancer and your help will be used to make this happen.","2019-08-17 19:26:05","2019-08-17 19:26:05",31,31,123,123
23,23,113,113,A13X3J8SIYBVWI,A13X3J8SIYBVWI,3,3,342,342,"Instead, you'll be given a number at the start at the study to identify your data. Be rest-assured that your name and address won't be recorded on the questionnaire.","Instead, you'll be given a number at the start at the study to identify your data. Be rest-assured that your name and address won't be recorded on the questionnaire.","2019-08-17 19:27:42","2019-08-17 19:27:42",31,31,123,123
24,24,114,114,A13X3J8SIYBVWI,A13X3J8SIYBVWI,3,3,359,359,"After reading through this information and you're happy to take part. Please complete the information and return it to either the researcher at the workshop, or send it back to us in the pre-paid envelope we've given you. ","After reading through this information and you're happy to take part. Please complete the information and return it to either the researcher at the workshop, or send it back to us in the pre-paid envelope we've given you. ","2019-08-17 19:29:54","2019-08-17 19:29:54",31,31,123,123
25,25,115,115,A2SUEKUXDG7IJ6,A2SUEKUXDG7IJ6,3,3,346,346,"This research creates a workshop using your views about men with prostate cancer","This research creates a workshop using your views about men with prostate cancer","2019-08-17 19:40:56","2019-08-17 19:40:56",31,31,123,123
26,26,117,117,A2SUEKUXDG7IJ6,A2SUEKUXDG7IJ6,3,3,342,342,"Your data will be given a random number to keep you anonymous and protect your personal records","Your data will be given a random number to keep you anonymous and protect your personal records","2019-08-17 19:41:59","2019-08-17 19:41:59",31,31,123,123
27,27,118,118,A2SUEKUXDG7IJ6,A2SUEKUXDG7IJ6,3,3,359,359,"If you want to take part in the questionnaire return it to the University of Southampton via email or the researcher.","If you want to take part in the questionnaire return it to the University of Southampton via email or the researcher.","2019-08-17 19:44:34","2019-08-17 19:44:34",31,31,123,123
28,28,119,119,A29HORM8VKJ6O0,A29HORM8VKJ6O0,2,2,222,222,"Despite an increasing number of people living for many years after cancer treatment we are yet to establish all ways we can support their recovery.","Despite an increasing number of people living for many years after cancer treatment we are yet to establish all ways we can support their recovery.","2019-08-17 19:44:58","2019-08-17 19:44:58",21,21,123,123
29,29,120,120,A2JRUPX8NNMAI2,A2JRUPX8NNMAI2,3,3,346,346,"Your answers for this questionnaire will be used to develop a workshop which is right for men with prostate cancer. ","Your answers for this questionnaire will be used to develop a workshop which is right for men with prostate cancer. ","2019-08-17 19:46:53","2019-08-17 19:46:53",31,31,123,123
30,30,122,122,A2JRUPX8NNMAI2,A2JRUPX8NNMAI2,3,3,342,342,"You will be given a number at the start, to prove you identity throughout. Your personal information such as name and address will not be recorded.","You will be given a number at the start, to prove you identity throughout. Your personal information such as name and address will not be recorded.","2019-08-17 19:47:50","2019-08-17 19:47:50",31,31,123,123
31,31,123,123,A2JRUPX8NNMAI2,A2JRUPX8NNMAI2,3,3,359,359,"If you are happy to take part after reading this information, please complete the questionnaier and return it to the researcher, by handing it in at the workshop, or sending it to us by post at the University of Southampton in the pre-paid envelope provided.","If you are happy to take part after reading this information, please complete the questionnaier and return it to the researcher, by handing it in at the workshop, or sending it to us by post at the University of Southampton in the pre-paid envelope provided.","2019-08-17 19:49:42","2019-08-17 19:49:42",31,31,123,123
32,32,124,124,A24NYP336X0LCJ,A24NYP336X0LCJ,2,2,264,264,"AGREEING TO TAKE PART IN ANY RESEARCH STUDY, ALLOWS US TO USE ALL DATA GIVEN-IN ANYWAY NEEDED TO CONDUCT STUDIES ","AGREEING TO TAKE PART IN ANY RESEARCH STUDY, ALLOWS US TO USE ALL DATA GIVEN-IN ANYWAY NEEDED TO CONDUCT STUDIES ","2019-08-17 19:53:41","2019-08-17 19:53:41",21,21,123,123
33,33,125,125,A24NYP336X0LCJ,A24NYP336X0LCJ,2,2,222,222,"MORE PEOPLE SURVIVING CANCER TREATMENTS YEARS AFTER ACTUAL TREATMENTS-BUT WE NEED TO FIND OUT ALL THE WAYS WE CAN HELP AND SUPPORT RECOVERY","MORE PEOPLE SURVIVING CANCER TREATMENTS YEARS AFTER ACTUAL TREATMENTS-BUT WE NEED TO FIND OUT ALL THE WAYS WE CAN HELP AND SUPPORT RECOVERY","2019-08-17 19:55:10","2019-08-17 19:55:10",21,21,123,123
