id,0,idReviewer,1,idLeaflet,2,clozeField1,3,clozeField2,4,clozeField3,5,clozeField4,6,clozeField5,7,clozeField6,8,clozeField7,9,clozeField8,10,clozeField9,11,clozeField10,12,clozeField11,13,clozeField12,14,clozeField13,15,clozeField14,16,clozeField15,17,clozeField16,18,clozeField17,19,clozeField18,20,clozeField19,21,clozeField20,22,clozeField21,23,clozeField22,24,clozeField23,25,clozeField24,26,clozeField25,27,clozeField26,28,clozeField27,29,clozeField28,30,clozeField29,31,clozeField30,32,clozeField31,33,clozeField32,34,cAns1,35,cAns2,36,cAns3,37,cAns4,38,cAns5,39,cAns6,40,cAns7,41,cAns8,42,cAns9,43,cAns10,44,cAns11,45,cAns12,46,cAns13,47,cAns14,48,cAns15,49,cAns16,50,cAns17,51,cAns18,52,cAns19,53,cAns20,54,cAns21,55,cAns22,56,cAns23,57,cAns24,58,cAns25,59,cAns26,60,cAns27,61,cAns28,62,cAns29,63,cAns30,64,cAns31,65,cAns32,66,flag,67
1,1,idReviewer,idReviewer,idLeaflet,idLeaflet,clozeField1,clozeField1,clozeField2,clozeField2,clozeField3,clozeField3,clozeField4,clozeField4,clozeField5,clozeField5,clozeField6,clozeField6,clozeField7,clozeField7,clozeField8,clozeField8,clozeField9,clozeField9,clozeField10,clozeField10,clozeField11,clozeField11,clozeField12,clozeField12,clozeField13,clozeField13,clozeField14,clozeField14,clozeField15,clozeField15,clozeField16,clozeField16,clozeField17,clozeField17,clozeField18,clozeField18,clozeField19,clozeField19,clozeField20,clozeField20,clozeField21,clozeField21,clozeField22,clozeField22,clozeField23,clozeField23,clozeField24,clozeField24,clozeField25,clozeField25,clozeField26,clozeField26,clozeField27,clozeField27,clozeField28,clozeField28,clozeField29,clozeField29,clozeField30,clozeField30,clozeField31,clozeField31,clozeField32,clozeField32,cAns1,cAns1,cAns2,cAns2,cAns3,cAns3,cAns4,cAns4,cAns5,cAns5,cAns6,cAns6,cAns7,cAns7,cAns8,cAns8,cAns9,cAns9,cAns10,cAns10,cAns11,cAns11,cAns12,cAns12,cAns13,cAns13,cAns14,cAns14,cAns15,cAns15,cAns16,cAns16,cAns17,cAns17,cAns18,cAns18,cAns19,cAns19,cAns20,cAns20,cAns21,cAns21,cAns22,cAns22,cAns23,cAns23,cAns24,cAns24,cAns25,cAns25,cAns26,cAns26,cAns27,cAns27,cAns28,cAns28,cAns29,cAns29,cAns30,cAns30,cAns31,cAns31,cAns32,cAns32,1,1
2,2,sre33,sre33,1,1,or,or,clinical,clinical,specific,specific,for,for,with,with,principal,principal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,or,or,randomised,randomised,routine,routine,for,for,with,with,chief,chief,that,that,a,a,you,you,you,you,to,to,sputum,sputum,up,up,about,about,for,for,signs,signs,consistent,consistent,illness,illness,like,like,a,a,viruses,viruses,have,have,a,a,ability,ability,research,research,any,any,then,then,get,get,close,close,would,would,we,we,you,you,0,0
3,3,sre35,sre35,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,or,or,randomised,randomised,routine,routine,for,for,with,with,chief,chief,that,that,a,a,you,you,you,you,to,to,sputum,sputum,up,up,about,about,for,for,signs,signs,consistent,consistent,illness,illness,like,like,a,a,viruses,viruses,have,have,a,a,ability,ability,research,research,any,any,then,then,get,get,close,close,would,would,we,we,you,you,1,1
4,4,sre35,sre35,1,1,,,,,,,,,,,,,that,that,a,a,you,you,you,you,to,to,,,,,,,,,symptoms,symptoms,,,,,,,,,,,,,,,ability,ability,study,study,some,some,then,then,gain,gain,close,close,would,would,we,we,the,the,or,or,randomised,randomised,routine,routine,for,for,with,with,chief,chief,that,that,a,a,you,you,you,you,to,to,sputum,sputum,up,up,about,about,for,for,signs,signs,consistent,consistent,illness,illness,like,like,a,a,viruses,viruses,have,have,a,a,ability,ability,research,research,any,any,then,then,get,get,close,close,would,would,we,we,you,you,1,1
5,5,sre35,sre35,1,1,,,,,,,,,,,,,that,that,a,a,you,you,you,you,to,to,,,,,,,,,symptoms,symptoms,,,,,,,,,,,,,,,ability,ability,study,study,some,some,then,then,gain,gain,close,close,would,would,we,we,the,the,or,or,randomised,randomised,routine,routine,for,for,with,with,chief,chief,that,that,a,a,you,you,you,you,to,to,sputum,sputum,up,up,about,about,for,for,signs,signs,consistent,consistent,illness,illness,like,like,a,a,viruses,viruses,have,have,a,a,ability,ability,research,research,any,any,then,then,get,get,close,close,would,would,we,we,you,you,0,0
6,6,sre35,sre35,1,1,to,to,provide,provide,asked,asked,aswell,aswell,personal,personal,medical,medical,such,such,from,from,will,will,number,number,advise,advise,study,study,,,,,,,of,of,are,are,have,have,,,,,,,,,,,,,possibly,possibly,when,when,to,to,we,we,how,how,,,work,work,and,and,or,or,randomised,randomised,routine,routine,for,for,with,with,chief,chief,that,that,a,a,you,you,you,you,to,to,sputum,sputum,up,up,about,about,for,for,signs,signs,consistent,consistent,illness,illness,like,like,a,a,viruses,viruses,have,have,a,a,ability,ability,research,research,any,any,then,then,get,get,close,close,would,would,we,we,you,you,1,1
7,7,sre35,sre35,1,1,to,to,provide,provide,asked,asked,aswell,aswell,personal,personal,medical,medical,such,such,from,from,will,will,number,number,advise,advise,study,study,,,,,and,and,of,of,are,are,have,have,,,,,,,,,,,,,possibly,possibly,when,when,to,to,we,we,how,how,,,work,work,and,and,or,or,randomised,randomised,routine,routine,for,for,with,with,chief,chief,that,that,a,a,you,you,you,you,to,to,sputum,sputum,up,up,about,about,for,for,signs,signs,consistent,consistent,illness,illness,like,like,a,a,viruses,viruses,have,have,a,a,ability,ability,research,research,any,any,then,then,get,get,close,close,would,would,we,we,you,you,0,0
8,8,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,or,or,randomised,randomised,routine,routine,for,for,with,with,chief,chief,that,that,a,a,you,you,you,you,to,to,sputum,sputum,up,up,about,about,for,for,signs,signs,consistent,consistent,illness,illness,like,like,a,a,viruses,viruses,have,have,a,a,ability,ability,research,research,any,any,then,then,get,get,close,close,would,would,we,we,you,you,1,1
9,9,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,or,or,randomised,randomised,routine,routine,for,for,with,with,chief,chief,that,that,a,a,you,you,you,you,to,to,sputum,sputum,up,up,about,about,for,for,signs,signs,consistent,consistent,illness,illness,like,like,a,a,viruses,viruses,have,have,a,a,ability,ability,research,research,any,any,then,then,get,get,close,close,would,would,we,we,you,you,1,1
10,10,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,or,or,randomised,randomised,routine,routine,for,for,with,with,chief,chief,that,that,a,a,you,you,you,you,to,to,sputum,sputum,up,up,about,about,for,for,signs,signs,consistent,consistent,illness,illness,like,like,a,a,viruses,viruses,have,have,a,a,ability,ability,research,research,any,any,then,then,get,get,close,close,would,would,we,we,you,you,1,1
