idClozeW,0,idReviser,1,idLeaflet,2,idSentence,3,clozeField1,4,clozeField2,5,clozeField3,6,clozeField4,7,clozeField5,8,clozeField6,9,clozeField7,10,clozeField8,11,clozeField9,12,clozeField10,13,dateT,14,flag,15,idGroup,16
1,1,yo,yo,1,1,1,1,group,group,be,be,viruses,viruses,that,that,,,,,,,,,,,,,"2019-06-24 17:13:10","2019-06-24 17:13:10",0,0,1,1
2,2,yo,yo,1,1,2,2,at,at,test,test,again,again,will,will,tests,tests,,,,,,,,,,,"2019-06-24 17:14:47","2019-06-24 17:14:47",0,0,1,1
3,3,yo,yo,1,1,3,3,and,and,right,right,some,some,tests,tests,this,this,as,as,or,or,,,,,,,"2019-06-24 17:15:43","2019-06-24 17:15:43",0,0,1,1
4,4,yo,yo,1,1,4,4,the,the,any,any,you,you,to,to,in,in,principal,principal,,,,,,,,,"2019-06-24 17:16:45","2019-06-24 17:16:45",0,0,1,1
5,5,yo,yo,1,1,1,1,,,,,,,,,,,,,,,,,,,,,"2019-06-24 18:09:49","2019-06-24 18:09:49",0,0,1,1
6,6,A3RCSO052XFJJJ,A3RCSO052XFJJJ,1,1,1,1,group,group,be,be,viruses,viruses,which,which,,,,,,,,,,,,,"2019-06-24 19:37:50","2019-06-24 19:37:50",0,0,1,1
7,7,A3RCSO052XFJJJ,A3RCSO052XFJJJ,1,1,2,2,after,after,check,check,and,and,would,would,equipment,equipment,,,,,,,,,,,"2019-06-24 19:38:15","2019-06-24 19:38:15",0,0,1,1
8,8,A3RCSO052XFJJJ,A3RCSO052XFJJJ,1,1,3,3,and,and,choice,choice,some,some,questions,questions,this,this,being,being,and,and,,,,,,,"2019-06-24 19:39:02","2019-06-24 19:39:02",0,0,1,1
9,9,A17VJ00S5DQGS4,A17VJ00S5DQGS4,1,1,1,1,,,,,,,,,,,,,,,,,,,,,"2019-06-24 19:39:04","2019-06-24 19:39:04",0,0,1,1
10,10,A3RCSO052XFJJJ,A3RCSO052XFJJJ,1,1,4,4,this,this,any,any,campus,campus,for,for,under,under,main,main,,,,,,,,,"2019-06-24 19:40:37","2019-06-24 19:40:37",0,0,1,1
11,11,A17VJ00S5DQGS4,A17VJ00S5DQGS4,1,1,2,2,pills,pills,have,have,attack,attack,medician,medician,good,good,,,,,,,,,,,"2019-06-24 19:42:46","2019-06-24 19:42:46",0,0,1,1
12,12,A37OJ7SA8GAXTJ,A37OJ7SA8GAXTJ,1,1,1,1,,,,,,,,,,,,,,,,,,,,,"2019-06-24 19:43:19","2019-06-24 19:43:19",0,0,1,1
13,13,A37OJ7SA8GAXTJ,A37OJ7SA8GAXTJ,1,1,2,2,health,health,check,check,test,test,will,will,analysis,analysis,,,,,,,,,,,"2019-06-24 19:44:45","2019-06-24 19:44:45",0,0,1,1
14,14,A37OJ7SA8GAXTJ,A37OJ7SA8GAXTJ,1,1,3,3,and,and,rights,rights,continue,continue,test,test,health,health,it's,it's,for,for,,,,,,,"2019-06-24 19:46:33","2019-06-24 19:46:33",0,0,1,1
15,15,A37OJ7SA8GAXTJ,A37OJ7SA8GAXTJ,1,1,4,4,analysis,analysis,permission,permission,date,date,reasearch,reasearch,corrct,corrct,,,,,,,,,,,"2019-06-24 19:47:50","2019-06-24 19:47:50",0,0,1,1
16,16,ANNZ0CZ6WN49X,ANNZ0CZ6WN49X,1,1,1,1,group,group,be,be,"pieces of data","pieces of data",which,which,,,,,,,,,,,,,"2019-06-24 19:47:59","2019-06-24 19:47:59",0,0,1,1
17,17,ANNZ0CZ6WN49X,ANNZ0CZ6WN49X,1,1,2,2,at,at,test,test,and,and,will,will,techniques,techniques,,,,,,,,,,,"2019-06-24 19:48:41","2019-06-24 19:48:41",0,0,1,1
18,18,A2KFKP6S866JFB,A2KFKP6S866JFB,1,1,1,1,Hurry,Hurry,be,be,Tests,Tests,which,which,,,,,,,,,,,,,"2019-06-24 19:48:52","2019-06-24 19:48:52",0,0,1,1
19,19,ANNZ0CZ6WN49X,ANNZ0CZ6WN49X,1,1,3,3,and,and,right,right,some,some,studies,studies,leaving,leaving,as,as,or,or,,,,,,,"2019-06-24 19:50:17","2019-06-24 19:50:17",0,0,1,1
20,20,A2KFKP6S866JFB,A2KFKP6S866JFB,1,1,2,2,For,For,Inform,Inform,and,and,Will,Will,Test,Test,,,,,,,,,,,"2019-06-24 19:51:08","2019-06-24 19:51:08",0,0,1,1
