idKwdQs,0,idReviser,1,idLeaflet,2,kwdQs1,3,kwdQs2,4,kwdQs3,5,kwdQs4,6,dateT,7,flag,8,idGroup,9
1,1,yo,yo,1,1,,,,,,,,,"2019-06-24 18:46:45","2019-06-24 18:46:45",4,4,1,1
2,2,yo,yo,1,1,,,,,,,,,"2019-06-24 18:49:19","2019-06-24 18:49:19",4,4,1,1
3,3,yo,yo,1,1,,,,,,,,,"2019-06-24 18:50:01","2019-06-24 18:50:01",4,4,1,1
4,4,yo,yo,1,1,,,,,,,,,"2019-06-24 18:51:24","2019-06-24 18:51:24",4,4,1,1
5,5,yo,yo,1,1,,,,,,,,,"2019-06-24 18:52:21","2019-06-24 18:52:21",4,4,1,1
6,6,,,,,,,,,,,,,"2019-06-24 19:34:19","2019-06-24 19:34:19",,,1,1
7,7,A3RCSO052XFJJJ,A3RCSO052XFJJJ,1,1,,,,,,,,,"2019-06-24 19:44:55","2019-06-24 19:44:55","payment pr","payment pr",1,1
8,8,A37OJ7SA8GAXTJ,A37OJ7SA8GAXTJ,1,1,,,,,,,,,"2019-06-24 19:52:07","2019-06-24 19:52:07","proton pum","proton pum",1,1
9,9,ANNZ0CZ6WN49X,ANNZ0CZ6WN49X,1,1,,,,,,,,,"2019-06-24 19:57:52","2019-06-24 19:57:52","Payment Pr","Payment Pr",1,1
10,10,A1OQAP1S1OGZ88,A1OQAP1S1OGZ88,1,1,,,,,,,,,"2019-06-24 20:19:58","2019-06-24 20:19:58","Payment Pr","Payment Pr",1,1
11,11,AUN1LGCVAUMIK,AUN1LGCVAUMIK,1,1,,,,,,,,,"2019-06-24 20:21:37","2019-06-24 20:21:37","Patient an","Patient an",1,1
12,12,A2KFKP6S866JFB,A2KFKP6S866JFB,1,1,,,,,,,,,"2019-06-24 20:59:40","2019-06-24 20:59:40","Proton pum","Proton pum",1,1
13,13,yo,yo,1,1,a,a,b,b,c,c,d,d,"2019-06-24 21:13:41","2019-06-24 21:13:41",0,0,5,5
14,14,yo,yo,1,1,1,1,2,2,3,3,4,4,"2019-06-24 21:15:09","2019-06-24 21:15:09",0,0,1,1
15,15,,,,,,,,,,,,,"2019-06-24 21:15:38","2019-06-24 21:15:38",,,0,0
16,16,A396HQPW8JXF76,A396HQPW8JXF76,1,1,"National Health Service","National Health Service",unknown,unknown,"General Practioner","General Practioner","Payment Protection Insurance","Payment Protection Insurance","2019-06-24 21:32:13","2019-06-24 21:32:13",0,0,1,1
17,17,ARZ9KWKL0P8ND,ARZ9KWKL0P8ND,1,1,NHS,NHS,"Randomised Control Trial","Randomised Control Trial","General Practitioner","General Practitioner","Payment Protection Insurance","Payment Protection Insurance","2019-06-24 22:11:57","2019-06-24 22:11:57",0,0,5,5
