idOrgSentence,0,SID,1,Sentence,2,Section,3,SMean,4,SStDev,5,SCoeVar,6,dateT,7,flag,8
1,1,SID,SID,Sentence,Sentence,PILSection,PILSection,Mean,Mean,StdDev,StdDev,CoefVar,CoefVar,"2019-11-19 09:50:00","2019-11-19 09:50:00",0,0
2,2,346,346,"The purpose of the research is to develop a workshop which is right for men with prostate cancer and your views will be used to do this.","The purpose of the research is to develop a workshop which is right for men with prostate cancer and your views will be used to do this.","<div class='s'>
 What will happen to the results of the study?
</div>
<div class='AlignTab'>
<b> The purpose of the research is to develop a workshop which is right for men with prostate cancer and your views will be used to do this.</b> A final report will be prepared for the funders and the results of the study will be published in health care journals and presented at conferences.
</div>","<div class='s'>
 What will happen to the results of the study?
</div>
<div class='AlignTab'>
<b> The purpose of the research is to develop a workshop which is right for men with prostate cancer and your views will be used to do this.</b> A final report will be prepared for the funders and the results of the study will be published in health care journals and presented at conferences.
</div>",10.3,10.3,1.5,1.5,0.1,0.1,"2019-11-19 09:50:00","2019-11-19 09:50:00",0,0
3,3,2100,2100,"If you have agreed for us to collect routine NHS data this will be tracked using your NHS and hospital numbers, but your name will be removed.","If you have agreed for us to collect routine NHS data this will be tracked using your NHS and hospital numbers, but your name will be removed.","<div class='s'>
 9. Will my taking part in this study be kept confidential?
</div>
<div class='AlignTab'><b>* If you have agreed for us to collect routine NHS data this will be tracked using your NHS and hospital numbers, but your name will be removed.</b></div>","<div class='s'>
 9. Will my taking part in this study be kept confidential?
</div>
<div class='AlignTab'><b>* If you have agreed for us to collect routine NHS data this will be tracked using your NHS and hospital numbers, but your name will be removed.</b></div>",10.7,10.7,1.7,1.7,0.2,0.2,"2019-11-19 09:50:00","2019-11-19 09:50:00",0,0
4,4,418,418,"We are interested in how a diagnosis of prostate cancer and its treatment affects a person’s health and well-being.","We are interested in how a diagnosis of prostate cancer and its treatment affects a person’s health and well-being.","<div class='s'>
2. Why are we doing this study?
</div>
<div class='AlignTab'>
<b>• We are interested in how a diagnosis of prostate cancer and its treatment affects a person’s health and wellbeing.</b>
</div>","<div class='s'>
2. Why are we doing this study?
</div>
<div class='AlignTab'>
<b>• We are interested in how a diagnosis of prostate cancer and its treatment affects a person’s health and wellbeing.</b>
</div>",10.9,10.9,0.8,0.8,0.1,0.1,"2019-11-19 09:50:00","2019-11-19 09:50:00",0,0
5,5,232,232,"After you have read the information sheet and have had your questions answered, you will be asked whether you are happy to take part in the study.","After you have read the information sheet and have had your questions answered, you will be asked whether you are happy to take part in the study.","<div class='s'>
 4. What would taking part involve?
</div>
<div class='AlignTab'><b>* After you have read the information sheet and have had your questions answered, you will be asked whether you are happy to take part in the study.</b></div>","<div class='s'>
 4. What would taking part involve?
</div>
<div class='AlignTab'><b>* After you have read the information sheet and have had your questions answered, you will be asked whether you are happy to take part in the study.</b></div>",11.0,11.0,1.8,1.8,0.2,0.2,"2019-11-19 09:50:00","2019-11-19 09:50:00",0,0
6,6,264,264,"This means that when you agree to take part in a research study, we will use your data in the ways needed to conduct and analyse the research study.","This means that when you agree to take part in a research study, we will use your data in the ways needed to conduct and analyse the research study.","<div class='s'>
 7. What is the legal basis for processing my data?
</div>
<div class='AlignTab'><b>* This means that when you agree to take part in a research study, we will use your data in the ways needed to conduct and analyse the research study.</b></div>","<div class='s'>
 7. What is the legal basis for processing my data?
</div>
<div class='AlignTab'><b>* This means that when you agree to take part in a research study, we will use your data in the ways needed to conduct and analyse the research study.</b></div>",11.3,11.3,1.9,1.9,0.2,0.2,"2019-11-19 09:50:00","2019-11-19 09:50:00",0,0
7,7,406,406,"The research nurse or member of your clinical team will go through the information sheet with you and answer any questions you have.","The research nurse or member of your clinical team will go through the information sheet with you and answer any questions you have.","<div class='s'>
1. We invite you to take part in a study
</div>
<div class='AlignTab'><b>
• The research nurse or member of your clinical team will go through the information sheet with you and answer any questions you have.</b> This will take about 10 minutes. Please take the information sheet away with you and you can talk to your friends, family or clinical team about the study if you wish. Take time to make your decision.
</div>","<div class='s'>
1. We invite you to take part in a study
</div>
<div class='AlignTab'><b>
• The research nurse or member of your clinical team will go through the information sheet with you and answer any questions you have.</b> This will take about 10 minutes. Please take the information sheet away with you and you can talk to your friends, family or clinical team about the study if you wish. Take time to make your decision.
</div>",11.5,11.5,1.1,1.1,0.1,0.1,"2019-11-19 09:50:00","2019-11-19 09:50:00",0,0
8,8,450,450,"If you are finding any aspect of your experience difficult, we can also provide you with details of where you might get more support.","If you are finding any aspect of your experience difficult, we can also provide you with details of where you might get more support.","<div class='s'>
6. What are the possible disadvantages and risks of taking part?
</div>
<div class='AlignTab'>
<b>• If you are finding any aspect of your experience difficult, we can also provide you with details of where you might get more support. </b>For example: Prostate Cancer UK (www.prostatecanceruk.org), Maggie’s Centres (www.maggiescentres.org) or Macmillan Cancer Support (www.macmillan.org.uk). You may also want to talk to your GP or hospital clinical team if you have more specific questions.
</div>","<div class='s'>
6. What are the possible disadvantages and risks of taking part?
</div>
<div class='AlignTab'>
<b>• If you are finding any aspect of your experience difficult, we can also provide you with details of where you might get more support. </b>For example: Prostate Cancer UK (www.prostatecanceruk.org), Maggie’s Centres (www.maggiescentres.org) or Macmillan Cancer Support (www.macmillan.org.uk). You may also want to talk to your GP or hospital clinical team if you have more specific questions.
</div>",11.6,11.6,0.9,0.9,0.1,0.1,"2019-11-19 09:50:00","2019-11-19 09:50:00",0,0
9,9,312,312,"Part of the Care Programme will be a workshop for men with prostate cancer which will help them better manage any prostate cancer related issues they have.","Part of the Care Programme will be a workshop for men with prostate cancer which will help them better manage any prostate cancer related issues they have.","<div class='s'>
 What is the purpose of the study?
</div>
<div class='AlignTab'>
 The Charity Prostate Cancer UK in conjunction with Movember is funding the introduction of a new service - the Prostate Cancer Survivorship Care Programme - in five NHS hospitals in the UK. The Care Programme will be introduced in January 2015. <b>Part of the Care Programme will be a workshop for men with prostate cancer which will help them better manage any prostate cancer related issues they have. </b>The workshop has been used previously with patients with breast, colorectal and testicular cancer. The content of the workshop has been adapted to suit the needs of men with prostate cancer. We want to find out what men think about the workshop and whether it might be improved.
</div>","<div class='s'>
 What is the purpose of the study?
</div>
<div class='AlignTab'>
 The Charity Prostate Cancer UK in conjunction with Movember is funding the introduction of a new service - the Prostate Cancer Survivorship Care Programme - in five NHS hospitals in the UK. The Care Programme will be introduced in January 2015. <b>Part of the Care Programme will be a workshop for men with prostate cancer which will help them better manage any prostate cancer related issues they have. </b>The workshop has been used previously with patients with breast, colorectal and testicular cancer. The content of the workshop has been adapted to suit the needs of men with prostate cancer. We want to find out what men think about the workshop and whether it might be improved.
</div>",11.7,11.7,2.4,2.4,0.2,0.2,"2019-11-19 09:50:00","2019-11-19 09:50:00",0,0
10,10,319,319,"No, taking part in this research is voluntary and your medical care will not be affected if you decide you do not wish to take part.","No, taking part in this research is voluntary and your medical care will not be affected if you decide you do not wish to take part.","<div class='s'>
 Do I have to take part?
</div>
<div class='AlignTab'><b>
 No, taking part in this research is voluntary and your medical care will not be affected if you decide you do not wish to take part.</b> If you do agree to take part, you can withdraw from the research at any time without giving a reason.
</div>","<div class='s'>
 Do I have to take part?
</div>
<div class='AlignTab'><b>
 No, taking part in this research is voluntary and your medical care will not be affected if you decide you do not wish to take part.</b> If you do agree to take part, you can withdraw from the research at any time without giving a reason.
</div>",12.2,12.2,1.9,1.9,0.2,0.2,"2019-11-19 09:50:00","2019-11-19 09:50:00",0,0
