idComment,0,idReviewer,1,idLeaflet,2,assocText,3,text,4,emotionVector,5,idParagraph,6,comment,7,reasonVector,8,otherReason,9,otherEmotion,10,priority,11
1,1,pr1,pr1,1,1,randomised,randomised,,,010,010,p4,p4,"Don't Know what Randomised means","Don't Know what Randomised means",010,010,,,,,2,2
2,2,pr1,pr1,1,1,randomised,randomised,,,100,100,p4,p4,"all is fine","all is fine",100,100,,,,,3,3
3,3,lf1,lf1,1,1,"overleaf.
Why have I been asked?
The symptoms and clinical signs that you display ","overleaf.
Why have I been asked?
The symptoms and clinical signs that you display ",,,001,001,"p10,p11,p12","p10,p11,p12","Don't like you","Don't like you",010,010,,,,,1,1
4,4,lf1,lf1,1,1,"overleaf.
Why have I been asked?
The symptoms and clinical signs that you display ","overleaf.
Why have I been asked?
The symptoms and clinical signs that you display ",,,100,100,"p10,p11,p12","p10,p11,p12","Nice name","Nice name",100,100,,,,,3,3
5,5,lf1,lf1,1,1,"overleaf.
Why have I been asked?
The symptoms and clinical signs that you display ","overleaf.
Why have I been asked?
The symptoms and clinical signs that you display ",,,100,100,"p10,p11,p12","p10,p11,p12","Nice name","Nice name",100,100,,,,,3,3
6,6,lf1,lf1,1,1,"overleaf.
Why have I been asked?
The symptoms and clinical signs that you display ","overleaf.
Why have I been asked?
The symptoms and clinical signs that you display ",,,100,100,"p10,p11,p12","p10,p11,p12","Nice name","Nice name",100,100,,,,,3,3
7,7,fer,fer,1,1,capacity,capacity,,,010,010,p3,p3,"Capacity for what","Capacity for what",010,010,,,,,2,2
8,8,fer,fer,1,1,capacity,capacity,,,100,100,p3,p3,great,great,001,001,,,,,3,3
9,9,fer,fer,1,1,capacity,capacity,,,100,100,p3,p3,great,great,001,001,,,,,3,3
10,10,fer,fer,1,1," influenza "," influenza ",,,100,100,p9,p9,influ,influ,001,001,,,,,3,3
11,11,fer,fer,1,1,"point-of-care test","point-of-care test",,,010,010,p12,p12,"no idea what is this","no idea what is this",001,001,,,,,2,2
12,12,sre35,sre35,1,1,"NHS ","NHS ",,,000,000,p2,p2,"2 x NHS","2 x NHS",000,000,,,,,und,und
