idRanking,0,RID,1,idReviser,2,idLeaflet,3,idSentence,4,crwRevision,5,dateT,6,g,7,flag,8,revSent1,9,revSent2,10,revSent3,11,revSent4,12,revSent5,13,revSent6,14,revSent7,15,revSent8,16,revSent9,17
1,1,,,,,2,2,222,222,,,2019-11-25 19:41:24,2019-11-25 19:41:24,,,6219,6219,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9
2,2,,,,,2,2,227,227,,,2019-11-25 19:41:52,2019-11-25 19:41:52,,,6219,6219,-1,-1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8
3,3,,,,,2,2,232,232,,,2019-11-25 19:50:20,2019-11-25 19:50:20,,,6219,6219,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,,
4,4,1021,1021,,,2,2,234,234,"Your questionnaire can be completed and returned to the nurse or researcher, or you can take it home to complete and return in the pre-paid envelope.","Your questionnaire can be completed and returned to the nurse or researcher, or you can take it home to complete and return in the pre-paid envelope.",2019-11-25 20:09:48,2019-11-25 20:09:48,,,6219,6219,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9
5,5,309,309,1,1,2,2,263,263,"As a publicly funded organisation, we have to make sure that it","As a publicly funded organisation, we have to make sure that it",2019-11-25 20:12:30,2019-11-25 20:12:30,,,6219,6219,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9
6,6,309,309,1,1,2,2,263,263,"As a publicly funded organisation, we have to ensure that it is in the public interest when we use personally identifiable information from people who have agreed to take part in research.","As a publicly funded organisation, we have to ensure that it is in the public interest when we use personally identifiable information from people who have agreed to take part in research.",2019-11-25 20:22:09,2019-11-25 20:22:09,,,6219,6219,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9
7,7,1606,1606,yo,yo,2,2,264,264,"This means that when you agree to take part in a research study, we will use your data in the ways needed to conduct and analyse the research study.","This means that when you agree to take part in a research study, we will use your data in the ways needed to conduct and analyse the research study.",2019-11-25 20:24:44,2019-11-25 20:24:44,6219,6219,6219,6219,2,2,3,3,4,4,5,5,6,6,7,7,8,8,-1,-1,,
8,8,1606,1606,yo,yo,2,2,264,264,"This means that when you agree to take part in a research study, we will use your data in the ways needed to conduct and analyse the research study.","This means that when you agree to take part in a research study, we will use your data in the ways needed to conduct and analyse the research study.",2019-11-25 20:47:47,2019-11-25 20:47:47,6219,6219,6219,6219,,,,,,,,,,,,,,,,,,
9,9,1606,1606,yo,yo,2,2,264,264,"This means that when you agree to take part in a research study, we will use your data in the ways needed to conduct and analyse the research study.","This means that when you agree to take part in a research study, we will use your data in the ways needed to conduct and analyse the research study.",2019-11-25 20:51:44,2019-11-25 20:51:44,6219,6219,6219,6219,,,,,,,,,,,,,,,,,,
10,10,1606,1606,yo,yo,2,2,264,264,"This means that when you agree to take part in a research study, we will use your data in the ways needed to conduct and analyse the research study.","This means that when you agree to take part in a research study, we will use your data in the ways needed to conduct and analyse the research study.",2019-11-25 20:54:56,2019-11-25 20:54:56,6219,6219,6219,6219,,,,,,,,,,,,,,,,,,
11,11,1606,1606,yo,yo,2,2,264,264,"This means that when you agree to take part in a research study, we will use your data in the ways needed to conduct and analyse the research study.","This means that when you agree to take part in a research study, we will use your data in the ways needed to conduct and analyse the research study.",2019-11-25 20:55:28,2019-11-25 20:55:28,6219,6219,6219,6219,,,,,,,,,,,,,,,,,,
12,12,1606,1606,yo,yo,2,2,264,264,"This means that when you agree to take part in a research study, we will use your data in the ways needed to conduct and analyse the research study.","This means that when you agree to take part in a research study, we will use your data in the ways needed to conduct and analyse the research study.",2019-11-25 20:56:07,2019-11-25 20:56:07,6219,6219,6219,6219,,,,,,,,,,,,,,,,,,
13,13,1606,1606,yo,yo,2,2,264,264,"This means that when you agree to take part in a research study, we will use your data in the ways needed to conduct and analyse the research study.","This means that when you agree to take part in a research study, we will use your data in the ways needed to conduct and analyse the research study.",2019-11-25 20:56:57,2019-11-25 20:56:57,6219,6219,6219,6219,,,,,,,,,,,,,,,,,,
14,14,1606,1606,yo,yo,2,2,264,264,"This means that when you agree to take part in a research study, we will use your data in the ways needed to conduct and analyse the research study.","This means that when you agree to take part in a research study, we will use your data in the ways needed to conduct and analyse the research study.",2019-11-25 20:57:54,2019-11-25 20:57:54,6219,6219,6219,6219,2,2,3,3,4,4,5,5,6,6,7,7,8,8,-1,-1,,
15,15,1606,1606,yo,yo,2,2,264,264,"This means that when you agree to take part in a research study, we will use your data in the ways needed to conduct and analyse the research study.","This means that when you agree to take part in a research study, we will use your data in the ways needed to conduct and analyse the research study.",2019-11-25 21:02:21,2019-11-25 21:02:21,6219,6219,6219,6219,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,,
16,16,281,281,yo,yo,2,2,222,222,A growing number of people are living for many years after cancer treatment but we don`t yet know all the ways to support them to ensure the best possible recovery.,A growing number of people are living for many years after cancer treatment but we don`t yet know all the ways to support them to ensure the best possible recovery.,2019-11-26 16:25:19,2019-11-26 16:25:19,6219,6219,6219,6219,5,5,9,9,8,8,4,4,2,2,1,1,3,3,7,7,2,2
