idCrwRevision,0,idReviser,1,idLeaflet,2,idSentence,3,crwRevision,4,dateT,5,flag,6,idGroup,7,rejected,8
1,1,yo,yo,1,1,1,1,a,a,2019-06-24 18:10:57,2019-06-24 18:10:57,0,0,1,1,1,1
2,2,yo,yo,1,1,2,2,b,b,2019-06-24 18:11:21,2019-06-24 18:11:21,0,0,1,1,0,0
3,3,yo,yo,1,1,3,3,c,c,2019-06-24 18:11:31,2019-06-24 18:11:31,0,0,1,1,0,0
4,4,yo,yo,1,1,4,4,d,d,2019-06-24 18:11:38,2019-06-24 18:11:38,0,0,1,1,0,0
5,5,yo,yo,1,1,4,4,,,2019-06-24 18:25:22,2019-06-24 18:25:22,,,1,1,0,0
6,6,A3RCSO052XFJJJ,A3RCSO052XFJJJ,1,1,1,1,"If you are in Group A, your samples will be analysed during a 1-hour long test.","If you are in Group A, your samples will be analysed during a 1-hour long test.",2019-06-24 19:41:37,2019-06-24 19:41:37,0,0,1,1,0,0
7,7,A3RCSO052XFJJJ,A3RCSO052XFJJJ,1,1,2,2,The clinical team might check you for respiratory viruses using standard laboratory tests.,The clinical team might check you for respiratory viruses using standard laboratory tests.,2019-06-24 19:42:21,2019-06-24 19:42:21,0,0,1,1,0,0
8,8,A3RCSO052XFJJJ,A3RCSO052XFJJJ,1,1,3,3,For both groups A and B you can opt out at any time. This will not affect your participation in the study or further care.,For both groups A and B you can opt out at any time. This will not affect your participation in the study or further care.,2019-06-24 19:43:19,2019-06-24 19:43:19,0,0,1,1,0,0
9,9,A3RCSO052XFJJJ,A3RCSO052XFJJJ,1,1,4,4,The samples collected are stored without any personal information and are only used in this research.,The samples collected are stored without any personal information and are only used in this research.,2019-06-24 19:43:53,2019-06-24 19:43:53,0,0,1,1,0,0
10,10,A37OJ7SA8GAXTJ,A37OJ7SA8GAXTJ,1,1,1,1,,,2019-06-24 19:48:36,2019-06-24 19:48:36,0,0,1,1,0,0
11,11,A37OJ7SA8GAXTJ,A37OJ7SA8GAXTJ,1,1,2,2,,,2019-06-24 19:48:51,2019-06-24 19:48:51,0,0,1,1,0,0
12,12,A37OJ7SA8GAXTJ,A37OJ7SA8GAXTJ,1,1,3,3,,,2019-06-24 19:49:10,2019-06-24 19:49:10,0,0,1,1,0,0
13,13,A37OJ7SA8GAXTJ,A37OJ7SA8GAXTJ,1,1,4,4,,,2019-06-24 19:49:28,2019-06-24 19:49:28,0,0,1,1,0,0
14,14,ANNZ0CZ6WN49X,ANNZ0CZ6WN49X,1,1,1,1,Those who are in Group A will be tested for different viruses using the rapid test which will take around one hour.,Those who are in Group A will be tested for different viruses using the rapid test which will take around one hour.,2019-06-24 19:52:25,2019-06-24 19:52:25,0,0,1,1,0,0
15,15,ANNZ0CZ6WN49X,ANNZ0CZ6WN49X,1,1,2,2,The team that are looking after you will use standard laboratory testing if they wish to test you to see if you have any respiratory viruses.,The team that are looking after you will use standard laboratory testing if they wish to test you to see if you have any respiratory viruses.,2019-06-24 19:53:11,2019-06-24 19:53:11,0,0,1,1,0,0
16,16,ANNZ0CZ6WN49X,ANNZ0CZ6WN49X,1,1,3,3,"Should you wish, you will have the right to not take part in any of the research samples and withdrawing will not affect your part in this study or prevent you from receiving care.","Should you wish, you will have the right to not take part in any of the research samples and withdrawing will not affect your part in this study or prevent you from receiving care.",2019-06-24 19:54:56,2019-06-24 19:54:56,0,0,1,1,0,0
17,17,ANNZ0CZ6WN49X,ANNZ0CZ6WN49X,1,1,4,4,"Any samples collected will be kept without personal details on them, they will only be used in further ethically approved research by the chief investigator of this study.

","Any samples collected will be kept without personal details on them, they will only be used in further ethically approved research by the chief investigator of this study.

",2019-06-24 19:56:46,2019-06-24 19:56:46,0,0,1,1,0,0
18,18,A2KFKP6S866JFB,A2KFKP6S866JFB,1,1,1,1,If you are in Group A your test will be conducted within an hour.,If you are in Group A your test will be conducted within an hour.,2019-06-24 20:06:30,2019-06-24 20:06:30,0,0,1,1,0,0
19,19,AUN1LGCVAUMIK,AUN1LGCVAUMIK,1,1,1,1,"For group A members, samples will be check for differents viruses by rapid 1 hour test.","For group A members, samples will be check for differents viruses by rapid 1 hour test.",2019-06-24 20:12:41,2019-06-24 20:12:41,0,0,1,1,0,0
20,20,AUN1LGCVAUMIK,AUN1LGCVAUMIK,1,1,2,2,Your clinical team could check you by laboratory test for respiratory viruses,Your clinical team could check you by laboratory test for respiratory viruses,2019-06-24 20:13:55,2019-06-24 20:13:55,0,0,1,1,0,0
21,21,A1OQAP1S1OGZ88,A1OQAP1S1OGZ88,1,1,1,1,If you are in Group A your samples will be analyised for many diffrent viruses useing the rapid test,If you are in Group A your samples will be analyised for many diffrent viruses useing the rapid test,2019-06-24 20:14:08,2019-06-24 20:14:08,0,0,1,1,0,0
22,22,AUN1LGCVAUMIK,AUN1LGCVAUMIK,1,1,3,3,,,2019-06-24 20:15:39,2019-06-24 20:15:39,0,0,1,1,0,0
