Id,Reviser,Leaflet,Sentence,Revised Sentence,Submission Time,Group,Flag
91,A1W89GXH3DEF23,2,264,"As part of your agreement to take part in this study, we will use your personal information to conduct and understand the study",2019-08-17 18:26:06,21,123
92,A1W89GXH3DEF23,2,222,Whilst more people are living longer after treatment for cancer we are still unsure how best to support them through their recovery,2019-08-17 18:28:07,21,123
94,A1YE98BQ5QRE6X,3,346,"This research will be used to develop a workshop for men with prostate cancer, using your views",2019-08-17 18:30:11,31,123
95,A1YE98BQ5QRE6X,3,342,"You will be allocated a number at the start of the survey that can identify your data, your name and address will not be recorded",2019-08-17 18:31:02,31,123
96,A1YE98BQ5QRE6X,3,359,"If you have read this information and are happy to take part, then please complete the questionnaire and return it to the researcher at the workshop, or send it to the University of Southampton in the prepaid Envelope provided",2019-08-17 18:32:15,31,123
97,A1KCKKMDKHADNC,3,346,The purpose of the research is to help men with prostate cancer by using your views to develop a workshop.,2019-08-17 18:41:22,31,123
98,A1KCKKMDKHADNC,3,342,You will be allocated a number at the start of the study which will identify your data. We will not use your name and address on the questionnaire.,2019-08-17 18:43:12,31,123
99,AXID3RPK6NZT6,2,264,This means we will use your data only to conduct and analyse the research study.,2019-08-17 18:44:05,21,123
100,AXID3RPK6NZT6,2,222,"As more people than ever live longer thanks to cancer treatment, we still need to improve their after care.",2019-08-17 18:45:05,21,123
101,A1KCKKMDKHADNC,3,359,"if you are happy to take part after reading this information, please complete it and return it to us at the workshop or post it to the University of Southampton in the pre-paid envelope provided.",2019-08-17 18:45:09,31,123
102,AXID3RPK6NZT6,2,263,We are a publicly funded organisation that ensures that the information you provide is only used in the public interest.,2019-08-17 18:46:57,21,123
103,AUZUHON52J10U,4,450,"If you are experiencing any difficulty, we can provide contact details where you can get support.",2019-08-17 19:09:15,41,123
104,AUZUHON52J10U,4,416,All patients will have been diagnosed with localised prostrate cancer which has been confined to the prostrate.,2019-08-17 19:12:13,41,123
105,AEQ0FXD00UB2Z,4,450,"If any aspect of your experience has been difficult, we can provide you with details to access additional support.",2019-08-17 19:19:22,41,123
106,AUZUHON52J10U,4,470,"Only University of Southampton staff that need to will have access to information about you, for example if they need to correspond with you or work on trial data. ",2019-08-17 19:19:50,41,123
107,AEQ0FXD00UB2Z,4,416,Patients will have had a diagnosis of localised prostate cancer (cancer confined to the prostate and hasn't spread).,2019-08-17 19:20:56,41,123
108,A3C8ZNF3VB5PA1,4,450,"If you are finding aspects of your experience difficult, details of where to get support may be provided",2019-08-17 19:22:43,41,123
109,AEQ0FXD00UB2Z,4,470,"The only people at the University of Southampton who will have access to your information, will be those that need to contact you for questionnaires, processing and analysing data or auditing the data collection process.",2019-08-17 19:23:41,41,123
110,A3C8ZNF3VB5PA1,4,416,Localised prostate cancer has been diagnosed (confined to prostate only),2019-08-17 19:23:42,41,123
111,A3C8ZNF3VB5PA1,4,470,The only people in the University of Southampton who will be able to identify you will be those who need to contact you or process the data that is collected,2019-08-17 19:25:13,41,123
112,A13X3J8SIYBVWI,3,346,The reason for this this research is to create a workshop for men with prostate cancer and your help will be used to make this happen.,2019-08-17 19:26:05,31,123
113,A13X3J8SIYBVWI,3,342,"Instead, you'll be given a number at the start at the study to identify your data. Be rest-assured that your name and address won't be recorded on the questionnaire.",2019-08-17 19:27:42,31,123
114,A13X3J8SIYBVWI,3,359,"After reading through this information and you're happy to take part. Please complete the information and return it to either the researcher at the workshop, or send it back to us in the pre-paid envelope we've given you. ",2019-08-17 19:29:54,31,123
115,A2SUEKUXDG7IJ6,3,346,This research creates a workshop using your views about men with prostate cancer,2019-08-17 19:40:56,31,123
117,A2SUEKUXDG7IJ6,3,342,Your data will be given a random number to keep you anonymous and protect your personal records,2019-08-17 19:41:59,31,123
118,A2SUEKUXDG7IJ6,3,359,If you want to take part in the questionnaire return it to the University of Southampton via email or the researcher.,2019-08-17 19:44:34,31,123
119,A29HORM8VKJ6O0,2,222,Despite an increasing number of people living for many years after cancer treatment we are yet to establish all ways we can support their recovery.,2019-08-17 19:44:58,21,123
120,A2JRUPX8NNMAI2,3,346,Your answers for this questionnaire will be used to develop a workshop which is right for men with prostate cancer. ,2019-08-17 19:46:53,31,123
122,A2JRUPX8NNMAI2,3,342,"You will be given a number at the start, to prove you identity throughout. Your personal information such as name and address will not be recorded.",2019-08-17 19:47:50,31,123
123,A2JRUPX8NNMAI2,3,359,"If you are happy to take part after reading this information, please complete the questionnaier and return it to the researcher, by handing it in at the workshop, or sending it to us by post at the University of Southampton in the pre-paid envelope provided.",2019-08-17 19:49:42,31,123
124,A24NYP336X0LCJ,2,264,"AGREEING TO TAKE PART IN ANY RESEARCH STUDY, ALLOWS US TO USE ALL DATA GIVEN-IN ANYWAY NEEDED TO CONDUCT STUDIES ",2019-08-17 19:53:41,21,123
125,A24NYP336X0LCJ,2,222,MORE PEOPLE SURVIVING CANCER TREATMENTS YEARS AFTER ACTUAL TREATMENTS-BUT WE NEED TO FIND OUT ALL THE WAYS WE CAN HELP AND SUPPORT RECOVERY,2019-08-17 19:55:10,21,123
