7: (234,281,269,228,119,92,187,252,179)
227: (403,505,799,400,699,540,806,909,508)
232: (1776,725,1713,1639,1264,1501,1563,529,837)
234: (726,459,996,435,483,618,865,1021,546)
2: (141,309,156,268,226,102,254,267,235)
264,11: (91,1105,1326,1736,1191,1606,279,1160,1574)
283: (735,926,469,990,707,499,866,376,1012)
2100: (1192,1822,1330,1067,1587,1834,1916,1361,711)
2112: (835,843,754,755,831,347,878,504,759)

312: (1415,1811,1759,1633,1527,589,423,1092,1779)
319: (1195,1949,571,1556,1343,1437,1240,387,1918)
324: (442,629,649,449,367,631,639,389,635)
333: (388,559,490,570,466,531,583,527,472)
341: (642,450,666,369,672,651,390,633,648)
18: (113,299,216,128,249,117,320,296,175)
343: (445,652,451,439,637,632,634,673,448)
346: (1335,1559,1731,1652,1919,1613,1487,1792,1347)
15: (303,118,321,217,153,150,123,205,294)

406: (1080,1440,1672,653,1062,638,1910,1241,1931)
411: (627,359,393,420,384,662,670,357,661)
416: (161,219,192,146,286,278,314,275,143)
418: (1399,1489,1381,1098,1654,1081,602,1818,1355)
433: (663,443,628,355,658,641,421,664,361)
450: (1500,1382,1893,1273,1655,1186,1604,1246,1314)
455: (610,607,604,383,415,418,588,545,406)
470: (287,106,167,185,147,109,318,144,111)
472: (596,379,350,372,411,543,587,552,414)
