"idParagraph";"idLeaflet";"leafletAcronym";"text";"class";"idInternal"
1;"1";"flupoc";"University Hospital Southampton";"t";1
2;"1";"flupoc";"NHS NHS Fundation Trust";"c floatR";2
3;"1";"flupoc";"Participant Information Sheet: adults with capacity or who regain capacity";"t c";3
4;"1";"flupoc";"Pragmatic randomised controlled trial evaluating a routine molecular Point-of-Care `test-and-treat` strategy for influenza in adults hospitalised with acute respiratory illness: FluPOC";"t2 c";4
5;"1";"flupoc";"Chief Investigator: Dr Tristan Clark";"t2 c";5
6;"1";"flupoc";"Research Study";"s";6
7;"1";"flupoc";"You are being invited to take part in the research study named above. Before you decide if you want to take part, it is important for you to understand why the research is being done and what it will involve. Please take time to read the following information carefully and discuss it with others if you wish. Please see the flowchart at the end which details what it means for you to take part. Ask us if there is anything that is not clear or if you would like more information. Take time to decide whether or not you wish to take part. Thank you for reading this information sheet.";"AlignTab";7
8;"1";"flupoc";"What is the purpose of this study?";"s";8
9;"1";"flupoc";"Infection by respiratory viruses, including influenza (`flu`), can lead to serious illnesses, such as pneumonia, asthma exacerbation or COPD exacerbation that require people to be admitted to hospital. Current methods of detection of these viruses can take several days for the results to become available to the doctors looking after patients. If these tests are positive for respiratory viruses it may alter which treatments are offered (such as antibiotics or antiviral medication for influenza), or the place in which that the patient is cared for (such as a side room).";"AlignTab";9
10;"1";"flupoc";"Rapid `point-of-care` tests for respiratory viruses have been developed and can provide accurate results in 1 hour rather than several days. We wish to explore if this test improves care for patients with influenza. If you join this study then you may either have the rapid test or standard NHS care, and this is decided randomly by a computer. More information is provided overleaf.";"AlignTab";10
11;"1";"flupoc";"Why have I been asked?";"s";11
12;"1";"flupoc";"The symptoms and clinical signs that you display are consistent with an `acute respiratory illness` and so we would like to test you for a wide variety of respiratory viruses (including influenza), which might have caused your illness, using a rapid point-of-care test. We would then collect data from your hospital case notes to see if testing you with this method made any difference to your care and how quickly you recovered.";"AlignTab";12
13;"1";"flupoc";"We are therefore asking for volunteers over the age of 18 who present to hospital with an acute respiratory illness to be part of this study";"AlignTab";13
14;"1";"flupoc";"Do I have to take part?";"s";14
15;"1";"flupoc";"No, it is up to you to decide whether or not to take part. If you do decide to take part you will be given this information sheet to keep and be asked to sign a consent form. If you decide to take part, you are still free to withdraw at any time and without giving a reason. A decision to withdraw at any time, or a decision not to take part, will not affect the standard of care you receive.";"AlignTab";15
16;"1";"flupoc";"What will happen to me if I take part?";"s";16
17;"1";"flupoc";"After you have finishing reading this, you will have the opportunity to discuss the study in more detail with a member of the research team. If you are happy to take part, then you will be asked to read and sign a consent form. A computer program will then assign you randomly to one of two groups (A and B). Group allocation is completely random: neither the research team nor anyone else can influence which group you are placed into. Both groups will have a swab taken from the nose and throat but only group A will have the swab tested immediately on the point-of-care test machine. We will also ask all patients to have a blood test taken (about a tablespoon full) although you have the right to decline this, should you wish.";"AlignTab";17
18;"1";"flupoc";"The swab (which is like a `cotton bud`) is briefly put up your nose and in the back of your throat. If you are able to cough up sputum then we will also ask for a sample of this too, to be tested at the same time.";"AlignTab";18
